number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_alpha3,params_alpha4,params_alpha5,state
15,1.01,2021-09-02 02:00:24.816301,2021-09-02 02:04:58.848312,0 days 00:04:34.032011,0.25156167820681297,0.04240287022722171,0.0209253730884824,0.06542992962597492,0.337767963375013,COMPLETE
16,0.052,2021-09-02 02:04:58.849188,2021-09-02 02:09:33.479939,0 days 00:04:34.630751,0.012071820689144218,0.04181517593644733,0.002704099939783978,0.4764934176512283,0.27151529890823006,COMPLETE
17,0.272,2021-09-02 02:09:33.480798,2021-09-02 02:14:07.731200,0 days 00:04:34.250402,0.19705115630284145,0.020331671866525902,0.010602310501938985,0.05316559721232218,0.869983194807724,COMPLETE
18,0.164,2021-09-02 02:14:07.732064,2021-09-02 02:18:42.037430,0 days 00:04:34.305366,0.01676533841155965,0.18790185785121308,0.0019137975466430796,0.20388987113705523,0.09054981100812304,COMPLETE
19,1.018,2021-09-02 02:18:42.038306,2021-09-02 02:23:15.898006,0 days 00:04:33.859700,0.777567801371143,0.01596710662541259,0.02504840064963163,0.0025501477107715675,0.15997451586491102,COMPLETE
20,1.436,2021-09-02 02:23:15.898874,2021-09-02 02:27:49.890846,0 days 00:04:33.991972,0.1188436911273477,0.8977406644138289,0.0013218778294263385,0.05145351215946557,0.030221467186900896,COMPLETE
21,1.224,2021-09-02 02:27:49.891708,2021-09-02 02:32:24.071494,0 days 00:04:34.179786,0.14850716693868074,0.8997191731546964,0.0016498019248858298,0.048810595806717295,0.023228636703645947,COMPLETE
22,1.292,2021-09-02 02:32:24.072382,2021-09-02 02:36:58.366590,0 days 00:04:34.294208,0.41333762789905365,0.29501264786425213,0.00029189205904549975,0.27013269468874224,0.05166587402921666,COMPLETE
23,0.922,2021-09-02 02:36:58.367466,2021-09-02 02:41:32.571662,0 days 00:04:34.204196,0.11502136879052531,0.09024738361741975,0.005152656260707369,0.08179958764662837,0.15912469675938026,COMPLETE
24,1.188,2021-09-02 02:41:32.572538,2021-09-02 02:46:06.606021,0 days 00:04:34.033483,0.42480177667508634,0.46453274679616147,0.001018137339680858,0.027619503002999295,0.39531826033188533,COMPLETE
25,0.14,2021-09-02 02:46:06.606913,2021-09-02 02:50:40.462910,0 days 00:04:33.855997,0.02789397684492319,0.07659119100508215,0.011034665851837825,0.03807446761014205,0.15009660695348076,COMPLETE
26,1.638,2021-09-02 02:50:40.463781,2021-09-02 02:55:14.501221,0 days 00:04:34.037440,0.007764407224661916,0.036769896590945844,0.0027157987822719024,0.3726622538875615,0.001243127267083866,COMPLETE
