number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_alpha3,params_alpha4,params_alpha5,params_beta1,state
12,1.705,2021-09-02 16:03:36.788649,2021-09-02 16:06:15.555342,0 days 00:02:38.766693,9.059727318898641,8.53574166423879,0.6181087527894654,0.0014001131409846397,0.0011515986850842758,2.9708613265867734,COMPLETE
13,1.628,2021-09-02 16:06:15.558343,2021-09-02 16:08:54.339541,0 days 00:02:38.781198,2.120320959029439,9.818787285272371,1.0747114264930837,0.0010003557339498038,0.0012674994350282383,2.8228020805817056,COMPLETE
14,1.476,2021-09-02 16:08:54.344067,2021-09-02 16:11:34.097159,0 days 00:02:39.753092,2.202299752773886,1.0107229983651518,0.4123290089815478,0.0030826150892326147,0.0069529304858582585,2.9469769867876927,COMPLETE
15,1.38,2021-09-02 16:11:34.100263,2021-09-02 16:14:10.472186,0 days 00:02:36.371923,2.5631393979328085,8.091976947221978,1.5744912283271904,0.0077990422689734615,0.0011197876549499176,2.7326867767763443,COMPLETE
16,1.1,2021-09-02 16:14:10.478188,2021-09-02 16:16:48.044947,0 days 00:02:37.566759,0.482056310818586,2.4153601187297684,0.18766191983670408,8.06363136019365,0.004828833957997647,2.8020803576887316,COMPLETE
17,-0.108,2021-09-02 16:16:48.047950,2021-09-02 16:19:25.619553,0 days 00:02:37.571603,0.0019239331946867134,0.8071031263549479,6.123197994753382,0.002848182731209203,0.014518413301570755,2.0061700377213185,COMPLETE
18,1.718,2021-09-02 16:19:25.623551,2021-09-02 16:22:05.553843,0 days 00:02:39.930292,4.134803019857166,3.5652868796367216,1.0670934536409034,0.024355208671752674,0.0024112672469984407,2.859839737738753,COMPLETE
19,0.346,2021-09-02 16:22:05.557844,2021-09-02 16:24:44.716099,0 days 00:02:39.158255,3.2248378684812464,0.27919448181000034,2.1134436895260778,0.025787774974816942,5.573172439454108,2.6982621321028764,COMPLETE
20,0.935,2021-09-02 16:24:44.719088,2021-09-02 16:27:23.791987,0 days 00:02:39.072899,0.2991676703762532,1.4898235639150024,0.15724161507934972,0.025789280328502962,0.0031191219952078253,2.8726551980172883,COMPLETE
21,1.718,2021-09-02 16:27:23.795988,2021-09-02 16:30:40.195969,0 days 00:03:16.399981,7.3718852394212036,4.252335801417661,0.8568303688714579,0.002618436354495026,0.001017401179650332,2.984099910586044,COMPLETE
22,1.74,2021-09-02 16:30:40.202974,2021-09-02 16:33:33.643194,0 days 00:02:53.440220,3.9124945750109186,4.019062560114778,0.8736109243209165,0.0033881771168909527,0.002343593034647122,2.8602949057455027,COMPLETE
23,0.055,2021-09-02 16:33:33.647194,2021-09-02 16:36:11.604602,0 days 00:02:37.957408,0.9633016443907579,4.233337879987255,3.270182213667014,0.005131061836765087,0.012045208523438114,2.7612833071917913,COMPLETE
24,-0.526,2021-09-02 16:36:11.609483,2021-09-02 16:38:50.811697,0 days 00:02:39.202214,4.245074071020667,0.44990176459993547,8.686262610843594,0.013342707627865404,0.003221180393630475,2.909962072837581,COMPLETE
